gene_id	IVF2cell1_count	IVF2cell3_count	IVFBL11_count	IVFBL12_count	MII4_count	MII5_count	NTC2c1_count	NTC2c2_count	NTCBL1_count	NTCBL2_count	NTT2c1_count	NTT2c2_count	NTTBL1_count	NTTBL2_count
ENSBTAG00000047955	63	69	16	10	16	20	91	66	15	6	33	50	18	1
ENSBTAG00000015474	150	201	569	433	863	1360	1638	1157	938	461	832	1222	412	268
ENSBTAG00000045326	0	0	4	1	0	0	0	0	9	2	0	0	4	5
ENSBTAG00000045327	0	1	9	10	0	0	0	0	36	20	0	1	20	7
ENSBTAG00000017204	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSBTAG00000026502	1	4	1	3	0	0	0	1	4	2	1	0	3	2
ENSBTAG00000026505	0	0	1	1	3	0	1	0	0	0	0	2	0	2
ENSBTAG00000045323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013781	434	404	106	97	373	576	949	786	451	189	711	675	225	94
ENSBTAG00000017201	3	17	45	31	12	21	18	15	93	70	23	12	115	20
ENSBTAG00000034776	86	122	2	1	130	138	221	112	8	3	118	113	16	0
ENSBTAG00000034770	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSBTAG00000045328	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012788	188	288	4432	5056	537	542	796	839	15169	10692	645	673	11059	3079
ENSBTAG00000012789	93	100	12	22	96	132	178	123	47	33	82	139	36	12
ENSBTAG00000024319	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012780	3	1	6	4	4	7	23	4	35	12	7	2	1	2
ENSBTAG00000012781	1585	1461	87	71	659	1141	1799	1346	117	73	1137	967	80	19
ENSBTAG00000012782	6	6	0	1	0	7	11	6	0	0	10	6	0	0
ENSBTAG00000012784	12986	11655	980	1067	2822	4045	5875	4580	234	93	3661	4638	103	67
ENSBTAG00000012785	2	0	2	7	5	7	24	18	10	11	10	7	3	13
ENSBTAG00000012787	1151	1026	399	394	861	1173	3166	2625	241	109	1967	2433	212	49
ENSBTAG00000007809	42	45	15	13	46	46	108	67	38	60	77	89	25	34
ENSBTAG00000007808	1	0	2	10	0	0	3	1	19	29	9	3	9	0
ENSBTAG00000007804	82	86	27	9	159	274	234	171	31	7	163	269	0	12
ENSBTAG00000007807	2881	2423	161	293	471	882	1480	1636	65	42	1197	1516	63	26
ENSBTAG00000007806	303	351	239	141	405	605	850	831	392	215	645	784	250	135
ENSBTAG00000007800	0	1	0	0	5	0	3	2	0	0	0	2	0	0
ENSBTAG00000007802	513	799	1147	748	401	528	878	742	788	518	495	648	446	374
ENSBTAG00000026501	19	20	116	203	1	2	12	22	229	153	10	7	139	61
ENSBTAG00000045324	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017205	184	205	2	0	245	351	427	328	8	7	325	382	1	0
ENSBTAG00000045322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013782	80	83	29	34	18	18	43	31	60	43	40	36	47	14
ENSBTAG00000028065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000028061	0	2	3	1	0	0	2	1	1	2	1	0	3	0
ENSBTAG00000033894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045321	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSBTAG00000003469	994	1107	309	275	738	1013	2046	1804	1312	847	1453	1748	901	557
ENSBTAG00000047621	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000047620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000030258	1	0	168	333	0	0	0	0	390	174	0	0	232	75
ENSBTAG00000030259	54	43	55	11	14	11	10	35	12	7	15	40	10	13
ENSBTAG00000013789	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017209	0	0	1	0	0	0	0	0	1	0	0	0	1	1
ENSBTAG00000030257	127	120	19	93	104	214	293	220	73	18	200	220	28	9
ENSBTAG00000030255	413	276	35	42	205	428	1594	1246	103	52	825	947	102	18
ENSBTAG00000047629	3	0	0	0	0	3	0	0	0	2	0	0	0	0
ENSBTAG00000012966	49	61	18	5	69	80	91	84	31	16	56	40	32	13
ENSBTAG00000001407	533	371	287	298	122	211	1001	757	786	379	782	743	468	175
ENSBTAG00000001406	4	2	20	9	0	2	2	7	2	3	4	4	0	3
ENSBTAG00000001405	1080	782	68	47	172	289	530	402	43	26	387	424	19	16
ENSBTAG00000001404	10	9	0	2	2	12	42	27	1	1	29	12	0	0
ENSBTAG00000001403	351	385	544	445	246	371	412	328	970	741	239	280	759	321
ENSBTAG00000001401	18	16	0	1	10	14	17	42	0	1	20	41	0	0
ENSBTAG00000001400	9	23	27	38	7	2	10	1	32	7	7	14	5	0
