	d10_1	d10_2	d10_3	d10_4	d13_1	d13_2	d13_3	d19_1	d19_2	d7_1	d7_2
ENSBTAT00000000003	0	3.224079219	25.76421205	18.20814732	6.992867136	27.48737528	9.358592833	2.128436916	12.9233183	14.82235833	0
ENSBTAT00000000005	2.475331811	1.682128288	0.814678642	0.140739303	1.160871224	0.544604023	0.232511623	0.201907059	0.363571614	3.866702174	4.485705767
ENSBTAT00000000008	0	0	2.884542824	0	0	0	0	0	0	4.056557214	0
ENSBTAT00000000009	9.660085442	7.658671617	0	1.32161113	0.188764512	0.309945398	0	11.03130986	5.078850099	5.134780167	3.403877069
ENSBTAT00000000010	67.16554214	55.56513977	54.66294247	38.79001752	22.14062087	16.86535234	20.64127109	26.26124836	15.35334878	35.47982905	32.92771289
ENSBTAT00000000013	0	0	4.053487473	2.567611611	3.667296233	3.612951124	1.285418846	2.120826295	3.946853712	1.425113515	0
ENSBTAT00000000014	304.2162382	124.9525823	317.3587982	91.53728821	144.102547	120.8931347	103.6291748	119.3747915	75.96784876	259.3958712	257.0101501
ENSBTAT00000000015	34.41633701	19.17382462	7.678936546	34.61421966	32.78980516	36.60949267	37.61380965	1.372016991	1.47799765	9.606046343	13.76591589
ENSBTAT00000000016	0.216862319	0	0	1.467280115	1.08483439	1.373057658	2.091340773	1.011218596	1.581031785	1.053918236	0.30565886
ENSBTAT00000000017	0	0	0	0.311679692	0.652914916	0.53603289	0.686556867	0.844599901	0.829560485	1.902923457	0
ENSBTAT00000000018	15.55922853	0	4.48073253	0	0	0.266250856	0	0	0	2.835581594	3.289517562
ENSBTAT00000000020	25.37649167	4.960822705	27.8968202	22.75907647	20.16099667	23.13988915	18.05697914	10.05650731	30.37961259	57.01712549	57.32545
ENSBTAT00000000021	0	34.50636137	10.21284081	21.49253987	23.68754994	24.41232509	22.78823377	4.065122758	19.66234596	3.91701962	0
ENSBTAT00000000022	55.60737423	32.80850127	12.91031913	13.89657289	15.36409179	19.91633373	24.09189094	10.21425968	23.69091881	25.13892749	60.14932573
ENSBTAT00000000023	3.675522705	0	1.646514641	0.060951989	0	0.209652868	0.067131429	0	0	6.698432711	11.22442501
ENSBTAT00000000024	29.68954831	1.384608999	12.07054477	10.94750721	4.641228587	9.413869544	12.05738846	2.326738492	11.83462704	21.21863778	0
ENSBTAT00000000025	8.931332541	0.88511307	9.216466098	11.55259726	14.83455649	14.51920435	17.25056882	14.07689985	20.24370049	18.98965779	12.58835989
ENSBTAT00000000026	8.802515245	60.48272643	3.830576547	6.539635925	6.696806571	8.234407057	8.102967676	15.58061513	15.63227863	9.981743199	23.15935442
ENSBTAT00000000027	6.733967185	56.43872009	24.37903936	38.86145087	38.79913378	57.28687768	36.05430234	30.3931637	41.99056678	12.85666924	18.9825207
ENSBTAT00000000029	15.23283331	0	6.156824603	16.11381894	23.43678647	11.59275748	15.28742613	11.78746571	10.41606759	10.71476385	18.64506594
ENSBTAT00000000030	26.59787039	4.217444167	13.27669305	15.87881677	0	0	0	34.1700413	25.85485492	3.231541186	0
ENSBTAT00000000032	18.34436456	32.50946546	0.414336743	0	0	0	0.236505792	0.102687746	0	14.42146122	53.23223322
ENSBTAT00000000033	0	10.65156547	20.20492625	7.575104851	9.276089966	8.812933617	16.19540005	6.392575037	11.30174152	10.88209546	6.312081481
ENSBTAT00000000034	0	4.175527673	1.155581376	1.347514267	0.41165961	0.321872451	0.659612484	4.653921697	1.687772816	0.457060489	5.302293217
ENSBTAT00000000036	0	0	1.087410389	1.549802979	2.656283344	3.149996636	4.500075677	0.606374834	0.595577386	8.601944165	0
ENSBTAT00000000037	143.2116678	192.1454973	62.50919108	90.8555349	277.0706163	261.1932486	267.202126	23.41280607	29.51713129	145.7408998	191.4998377
ENSBTAT00000000040	15.60720853	0	10.98667721	9.317437856	6.777228061	11.57311539	23.18465238	3.713044135	9.157840428	56.88651357	12.22096833
ENSBTAT00000000043	23.15579304	25.70160093	34.0087599	28.22381843	26.15332309	24.17087916	37.93664203	27.32412191	22.4548245	22.50673391	17.13451648
ENSBTAT00000000044	49.29104478	27.84921393	56.99670629	32.8089081	30.29034676	47.40897686	43.70986495	23.0758342	14.61570449	60.57511861	42.32310593
ENSBTAT00000000046	33.05533804	31.26425906	24.27129463	25.38864044	27.92201987	26.59527552	11.43924303	70.19702847	55.77557065	28.18315236	26.15589686
ENSBTAT00000000047	91.90966775	54.5266765	84.26566939	32.59831633	17.20227544	12.83890721	17.40346053	14.45822586	13.49950182	88.11800998	125.1368149
ENSBTAT00000000049	0.627428246	0	0	0	0.147124396	0.322098182	0.206273461	0	0	0.381150857	0.442167646
ENSBTAT00000000050	0	0	0	0.499164163	2.614155939	1.144629847	0.366513649	0.318270941	0	4.06345026	0
ENSBTAT00000000051	175.057074	202.7132276	155.6233319	170.0319529	114.1601898	159.6424787	183.7760522	232.1733467	157.375088	155.3253862	142.1648875
ENSBTAT00000000054	3.462167825	2.744862519	10.4688355	5.856215623	11.56867465	11.55275811	12.52045439	3.171127648	7.766426888	17.35141508	3.659841439
ENSBTAT00000000055	23.07594548	62.41817368	107.3686519	38.35738082	37.13453582	42.97197002	60.98913503	34.74783357	40.98028795	54.42361088	42.09070058
ENSBTAT00000000057	14.56416159	0	0.266296765	0	0	0	0	3.365900239	2.268799609	2.527844057	3.910020875
ENSBTAT00000000060	24.24252701	20.21399763	8.34551103	9.149399623	9.212942814	10.72862601	12.82525357	5.866874319	2.949570267	20.56684845	35.64167946
ENSBTAT00000000061	20.59189966	9.523261023	6.424206317	13.91530717	12.33963651	9.616774317	19.55719387	12.28815105	8.821445536	25.01838338	12.09311164
ENSBTAT00000000063	3.121221707	7.423664804	0.958769705	1.180125614	0.780681647	0.534106141	0.615680159	2.108860427	1.633708415	2.654516864	14.07756327
ENSBTAT00000000064	114.5873845	125.603391	43.53399885	103.1236868	158.9002841	162.3504469	157.5124216	157.2074622	111.5954867	84.48668355	103.9777256
ENSBTAT00000000065	0	4.562731994	11.04897982	17.17883685	4.498335584	7.386125714	19.55114548	1.095335957	6.992906666	0	48.66947037
ENSBTAT00000000066	59.64370936	8.184201094	14.53365808	59.23094762	11.65477856	12.4634415	9.552849338	0.054575306	0	72.46486297	59.0074785
ENSBTAT00000000069	5.15696701	2.72568444	2.420160821	3.363751286	0.44786922	0.19610325	0.062792804	8.99706085	7.283710108	2.436591462	3.230462662
ENSBTAT00000000071	55.36617014	29.26346206	69.90593774	57.86821363	56.60926198	82.19601147	107.6826575	43.76402879	57.57717627	56.35951963	67.49096347
ENSBTAT00000000072	18.73070193	4.013514254	14.57851505	12.59251158	11.79147041	16.19932387	13.09249348	6.744429733	17.60180353	4.305396951	10.70277705
ENSBTAT00000000073	0	2.094569586	6.255650591	0.613365182	0.413001549	0.150696793	0	0.293314796	0.205779907	0.534975498	0
ENSBTAT00000000074	131.4447602	134.1157042	231.7282905	103.2645622	103.812808	174.0757991	213.4386488	104.2019429	98.71412712	94.43156359	133.7138585
ENSBTAT00000000075	57.70264189	51.20371966	36.99476601	54.5693746	101.7896636	114.8659757	94.79365882	29.82330542	24.14631835	32.15896285	45.51472525
ENSBTAT00000000078	0	0	0	0	0	0.05900619	0	0.065628048	0.032229719	0.837890847	4.374113227
ENSBTAT00000000079	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000080	20.30726295	4.12818609	16.79444933	14.92104687	15.05871388	41.52175052	30.47095577	5.004642145	16.49864902	11.38733561	0
ENSBTAT00000000081	219.2025289	311.2608395	532.1406137	159.9002479	210.6136273	162.3572581	311.0629851	214.5136088	180.175359	228.9581309	212.1199324
ENSBTAT00000000084	16.24728403	0	0	1.97950209	1.451349783	2.439810529	1.162767021	2.20875529	2.355375675	5.237100103	10.2815896
ENSBTAT00000000085	37.7540104	37.9138523	93.74395312	54.59443139	70.23270906	67.9429114	92.40057495	45.50826756	69.63465745	32.10879158	31.04079072
ENSBTAT00000000086	75.03924183	138.4903228	237.1166315	150.306233	180.3810078	121.4611443	142.0879498	88.50040696	112.334994	173.3721846	79.75709457
ENSBTAT00000000087	38.07863645	1.341749219	19.81976071	10.9454154	15.34462333	17.66573283	16.32072988	3.945752356	4.903683873	37.01128857	71.56044224
ENSBTAT00000000088	60.15410785	38.15291789	72.80332193	32.17692747	40.92451534	69.00844613	65.49903589	41.49046905	31.12599705	49.69778499	42.05327831
ENSBTAT00000000089	3.361069687	0	3.355448381	0.936387419	0.840672552	6.671729948	0.589325908	0.127938831	0.125660681	4.900287864	0
ENSBTAT00000000091	60.52843876	45.16510396	39.92023593	42.79544104	49.20306804	65.55801191	51.34811137	21.21044371	45.45934255	65.7532114	40.14703055
ENSBTAT00000000092	7.155714489	3.33715642	8.081161463	20.60578703	10.5281832	11.88477542	15.4989185	7.330271192	16.16991753	12.7851822	10.67897275
ENSBTAT00000000094	0	0	0.93394738	0	0	0	0	0	0	3.546229082	2.742619685
ENSBTAT00000000096	190.4201292	48.61228479	48.00282637	42.84184277	39.08647231	40.62906037	34.34368637	26.19251964	82.75023342	331.509817	301.0381103
ENSBTAT00000000097	0	0	0	0.223560206	0.087809975	0.384483256	0.123112604	0.10690779	0.630024784	0	0
ENSBTAT00000000099	5.371840635	0	0.082505483	2.565573015	1.511558617	1.029542065	3.485000633	1.43135059	2.229297303	3.915950564	9.691387986
ENSBTAT00000000100	93.11190434	183.9836997	221.6647297	300.4571064	328.7360073	278.2214865	248.3455406	146.2703984	222.6619469	106.1657709	78.74252739
ENSBTAT00000000101	26.39967463	2.325565338	18.5840218	32.39657251	26.25191105	25.85033924	29.89489607	33.14778803	23.16726009	22.27403575	35.14211385
ENSBTAT00000000103	0	0	0	0.449859281	0.235594299	1.547353748	0.660622611	0.071708441	0.070431561	0.915520857	0
ENSBTAT00000000104	2.014577696	1.597189705	7.348645947	11.02469878	23.46225023	17.92628587	21.41478853	13.61153925	16.193636	8.566726379	7.098668913
ENSBTAT00000000106	32.54289347	5.733451348	25.91672524	57.08465419	33.6325649	20.83131696	19.02010574	43.35598626	69.84671579	43.1993534	46.71732688
ENSBTAT00000000107	14.88086499	3.932596628	7.523219176	8.24220504	7.095081423	7.766600537	10.59984629	5.074348091	7.673028656	14.16242471	0.699133017
ENSBTAT00000000109	118.8409838	153.3979568	125.5812491	142.0905829	244.8131599	245.3785956	170.5957349	174.778233	170.6103342	122.9082182	170.9624434
ENSBTAT00000000111	0	0	0	0	0.851529946	1.967816519	0.132652695	0.115192158	0	0	0
ENSBTAT00000000112	77.69377929	34.74695903	93.32138344	38.45416557	41.73071319	45.68034672	46.28236425	33.74477313	22.15799716	53.24847218	89.85132991
ENSBTAT00000000114	0.305343222	8.714917206	12.19330172	12.63867761	10.35803528	17.3471974	7.763084319	2.208344104	7.848431609	4.080785798	5.164430303
ENSBTAT00000000115	7.294698954	0	0	11.21717851	17.00152603	13.1636289	15.11597128	9.15055763	11.40497695	4.028538541	0
ENSBTAT00000000119	25.95045772	10.5507393	28.87078258	26.08534943	23.76818329	30.40147322	29.24036723	13.55061663	21.64320434	29.50775099	15.94344719
ENSBTAT00000000121	27.36593723	14.18594856	32.12948796	32.04633929	20.97860141	29.98846036	28.48996832	17.62846575	46.09018743	31.96979248	44.50523761
ENSBTAT00000000123	2.662485504	8.443445881	3.066960649	3.907502762	4.422273096	4.72692063	2.990674528	1.900261568	5.817022878	4.85222958	0
ENSBTAT00000000127	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000129	0	0	0	0	0	0	0	0	0.285220522	0	0
ENSBTAT00000000131	2.624323212	12.94599158	7.501520702	4.758156056	6.427221883	8.682144573	7.605185366	3.052336199	2.125843626	7.439725931	7.808746135
ENSBTAT00000000134	1.613974915	0	2.478885511	0.080294686	0	0	0	0.153589544	0.113140982	13.23620191	28.43542242
ENSBTAT00000000135	0	0	3.141106484	1.302335761	2.685539997	2.659742028	2.151553939	0	0	0	4.612069511
ENSBTAT00000000136	10.82366807	14.52199472	0	7.952842238	4.230033843	4.202967983	8.120432376	1.980778856	2.217879125	11.12721881	0
ENSBTAT00000000139	30.4736985	0	2.753188415	0.535078525	0.980784644	5.674804784	0.785767878	0.085292554	0.083773787	14.15638716	55.58425851
ENSBTAT00000000141	5.617130162	11.57871372	5.823417791	5.030104626	2.89772919	2.018537096	4.432053748	4.436673297	2.205086744	7.507062002	12.6673964
ENSBTAT00000000143	38.67521779	47.28649521	39.00415435	51.46330529	41.95720281	33.64883862	51.98289808	48.28891253	39.93796313	38.49695845	36.77863386
ENSBTAT00000000144	706.231874	687.2052207	857.2785582	792.9625655	878.300921	1068.157653	988.2763517	757.2767281	890.2419114	697.0764314	711.3433172
ENSBTAT00000000145	0	0	0	0.935907958	7.719724293	8.450363183	5.411659416	2.12589398	5.604736608	0	0
ENSBTAT00000000146	39.27421537	31.13723169	6.090082356	6.913723749	40.14324342	44.7180879	9.435546507	4.240538936	5.082747911	51.38720904	41.51658965
ENSBTAT00000000147	86.83422391	28.2435175	111.7096856	66.60880226	91.77215226	80.26479419	71.73509619	62.78728386	94.41154202	80.25237652	107.7445175
ENSBTAT00000000157	40.38510342	0	0	13.11231305	96.02732019	17.45869542	64.28871053	5.259032034	3.774705725	20.65952897	8.987558783
ENSBTAT00000000158	6.253865438	3.590395659	1.57327207	3.647703059	2.865489546	1.623701395	1.866962782	2.965399783	3.073847226	5.895163882	9.422477719
ENSBTAT00000000159	15.98340703	0	3.945331775	19.31124467	6.692709266	6.349326165	8.507623669	14.34102275	14.93933478	2.774176888	0
ENSBTAT00000000160	57.5575475	38.47450499	51.78449042	56.48330635	53.45694074	62.57200444	65.4253133	61.86135917	52.05724278	87.75561387	75.55767834
ENSBTAT00000000161	0	0	0	0.464954274	0	0	0	0	0	0	0
ENSBTAT00000000163	15.69213766	12.44097995	60.68381607	20.96678994	38.5483792	29.34596918	39.79762159	17.06628233	33.83907604	25.87441292	31.5963532
ENSBTAT00000000165	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000166	4.113359266	0	0	0	1.286044531	0	0	0	0	2.498788378	0
ENSBTAT00000000167	7.052334364	11.69070028	13.29332635	21.68898099	24.00352895	24.41030342	19.5318347	10.98190252	12.31441928	6.620975264	9.939986294
ENSBTAT00000000168	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000169	0	8.927813971	0.154423829	0.320128713	0.440090535	0	0.52887605	0.076543706	0.112771089	2.443134939	2.834245822
ENSBTAT00000000172	8.778545954	6.959772886	4.346450796	6.068242651	7.331019866	4.3089201	11.03782525	5.935640977	7.924410322	6.73617036	6.837717844
ENSBTAT00000000176	2.790137072	1.264037539	0	1.507061994	0.685408605	1.705180906	0.960966426	0.872409137	0.074510829	7.748369309	16.85394782
ENSBTAT00000000177	20.57818017	7.677512137	16.7324772	15.65746385	17.88212887	24.54592184	22.41830549	14.80219228	4.865062231	38.97326117	27.29800552
ENSBTAT00000000179	70.73371156	7.314629728	27.75020339	24.17384448	19.71114424	34.9963869	18.1991207	14.77933383	18.6841725	31.75999072	47.68087175
ENSBTAT00000000181	0	2.194731845	7.26342218	1.469020085	3.894761443	3.473868409	1.314586344	1.141552664	1.293721779	6.166138129	0.650295314
ENSBTAT00000000184	14.19405583	63.14338483	34.66883021	43.38895164	40.12493715	40.48165055	50.29386634	25.06370907	27.71301325	15.32910563	1.667163348
ENSBTAT00000000186	4.026682506	3.83090264	39.89025302	12.34008428	18.38059676	19.29338239	16.76829937	9.503070223	15.80733214	10.76298906	39.72814787
ENSBTAT00000000187	69.99267916	72.7127713	249.7543646	228.7386879	104.7943952	98.29570221	8.199254145	95.89058527	57.86339211	63.04576367	64.63401154
ENSBTAT00000000188	1.944903566	0	0	0	0	0	0	0.185081471	0.363571614	0	0
ENSBTAT00000000191	24.299289	25.68649122	17.10545765	8.059207412	9.496486234	0.693019203	15.97728018	29.29009484	30.66120615	19.68181463	5.708147759
ENSBTAT00000000194	0.572829572	0.908297056	3.299258818	2.165853354	3.313267665	3.038715748	2.887628344	0.218047088	4.283288403	1.391932758	0.80738062
ENSBTAT00000000195	24.70597166	20.89311253	15.49446058	6.391389845	10.55659608	6.200637085	12.99574589	6.191168803	4.849345575	10.00560869	0
ENSBTAT00000000196	0	0	0	0	0	2.551570701	3.921696044	0.283791589	3.344858853	72.46486297	0
ENSBTAT00000000198	0	0	0	0.320346903	0	0	0	0	0.050154645	5.215573561	14.36996631
ENSBTAT00000000199	7.407363904	0	0.812634645	0.842317162	0.165422663	0	1.391569564	0.201400482	1.087978283	33.42734001	4.474451308
ENSBTAT00000000200	3.659123273	0.290101198	3.65300348	6.262179457	5.205324412	7.29467452	9.262901699	3.725852761	6.395589013	6.001691105	8.251823197
ENSBTAT00000000201	9.537738545	34.37124101	3.329296123	19.41132887	25.48237751	17.43385973	11.68734526	10.6853159	19.04506638	27.91652981	39.71814707
ENSBTAT00000000202	7.612751933	0	0	0.688603165	0.540939089	0.236854664	0	2.568493493	0.194058267	1.681674035	0
ENSBTAT00000000204	20.17076902	7.575021077	16.91673901	6.337823305	6.555341468	6.267450363	11.51760246	11.61800517	5.20942823	12.89827658	20.2001928
ENSBTAT00000000206	19.99343305	24.65729208	9.809399018	23.87199089	96.19533256	62.53364132	58.1836281	35.6212896	40.59322214	1.349514942	1.565552941
ENSBTAT00000000207	544.1684783	517.5127589	450.9581211	774.6620551	801.6034011	834.2228542	671.562471	879.501986	790.3475143	291.1460823	253.3157976
ENSBTAT00000000209	0	0	0	0	0	0	0	0.167608455	0.123467944	1.069950997	2.48246963
ENSBTAT00000000210	6.918250997	13.02663994	5.395844058	11.53004885	14.76920576	21.71637788	9.761163484	7.879705384	13.07412152	11.03210677	22.54919003
ENSBTAT00000000211	13.48111239	19.00096611	32.20853297	18.480977	13.11295633	15.8919746	16.96218101	24.42249076	14.8405838	9.706100367	31.66849099
ENSBTAT00000000213	0	16.35410664	0	0	0	0	0	0	0	1.566380226	0
ENSBTAT00000000214	0	0	0	0	0	0	0	0	0	3.574499967	0
ENSBTAT00000000217	26.74539047	3.461906471	25.56892037	31.71653473	17.15055933	6.911742266	13.87710525	34.43747183	43.36443466	19.23152353	32.31134555
ENSBTAT00000000218	0	0	0	0.056617155	1.156380457	1.265826922	0.187071364	0.054149306	0	1.037008013	3.609054394
ENSBTAT00000000230	0	0	0	0	1.101023973	1.698280304	0.91217068	0.274190312	1.346539633	1.944811709	2.707377825
ENSBTAT00000000231	0	0	0	1.323234731	0	0	0	1.476483266	1.035851559	0	0
ENSBTAT00000000233	10.39747707	19.78389023	13.37434357	20.0701086	23.16179447	22.24031515	12.98945282	11.42812087	14.38306976	21.47532389	25.64595705
ENSBTAT00000000236	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000237	18.8780548	2.602926342	10.08507383	7.921750538	10.00814012	6.320404489	13.67196786	7.459292678	6.022280274	14.45973183	15.03923167
ENSBTAT00000000240	70.03450345	105.2801913	150.5214163	102.2632977	96.54292909	111.7503072	127.3826317	81.70679828	106.0957078	66.30334042	42.30465516
ENSBTAT00000000242	0	13.01583788	4.552712169	8.893510904	7.77057247	5.46258417	7.096488903	13.36634712	10.57086996	9.419089	7.713141273
ENSBTAT00000000244	5.97160925	11.36253162	11.00607117	7.130051218	9.708543693	7.493690652	13.00093005	6.213107114	11.53516251	12.57581967	25.81135747
ENSBTAT00000000246	36.77582976	38.87529501	39.53850179	79.42836794	34.4173102	45.22649533	54.05765872	70.13342806	85.93387374	35.74499967	23.49811499
ENSBTAT00000000253	7.455463669	1.108277231	1.699722322	5.795417262	4.807596156	1.794073149	3.165952536	5.298921072	3.506004397	8.208910258	5.91085187
ENSBTAT00000000254	7.436684164	17.29470807	23.41493125	23.67823558	24.49088782	24.09402581	25.42681516	31.18562179	32.53022678	24.09411061	9.782931324
ENSBTAT00000000256	7.338711442	10.47284793	1.502859001	7.934803539	5.468446435	5.818570622	6.380189065	4.190211378	1.737696993	2.972086102	1.034362346
ENSBTAT00000000257	97.16208196	128.8365883	49.08885667	85.59464565	128.9723717	107.3427526	131.0100076	124.6339908	82.58344497	110.4545255	112.9204773
ENSBTAT00000000259	74.60846676	20.28027304	92.21789688	87.52648385	94.19417277	63.1057782	62.13835357	132.2612236	127.648025	61.29428662	53.07959205
ENSBTAT00000000263	4.569477733	0.762685407	0.554069076	0.813601804	0.676729078	0.246926197	1.159641303	0.457728369	0.764282265	2.045379197	3.050762256
ENSBTAT00000000265	2.375191965	0	0	2.520852648	2.599118758	4.199930535	3.644053846	2.109601191	2.664046874	2.885768879	1.115913037
ENSBTAT00000000269	23.72242494	7.978948425	34.7788633	9.727563424	13.70990167	16.72965567	17.17353381	3.352016063	7.726892712	18.34117971	18.23771972
ENSBTAT00000000271	0	0	0	0	0.075413273	0.082550817	0	0.183629852	0.315630063	0	0
ENSBTAT00000000272	9.987698285	2.111575564	27.48415042	22.65793272	14.6244603	16.23648339	32.54370905	4.974033226	15.68326918	14.56161319	7.977117183
ENSBTAT00000000273	13.41429151	1.289099002	5.931125229	5.662417104	5.528437711	3.686656057	3.741890897	1.315217524	4.55928716	17.77948311	1.145873528
ENSBTAT00000000276	8.282580909	1.19392069	12.72112077	10.48868539	9.18114767	10.82318896	11.71707961	7.881893399	9.360230493	24.70015031	15.91905018
ENSBTAT00000000277	0	0	0	0	0	0	0	11.01779109	0.918815279	0	0
ENSBTAT00000000279	0	0	0	0	0	0	0	0	0	0	0
ENSBTAT00000000280	4.398307059	0.871762202	2.111034134	1.422292526	1.031350237	0	0	0.732467676	0.051387496	4.675805404	4.649429851
ENSBTAT00000000282	5.827512683	11.9353774	5.407539201	11.40339074	11.42530624	13.17146859	11.17581774	3.165610098	8.692259035	5.310156502	9.240354663
ENSBTAT00000000283	0	0	0	0	0	0	0	0	0	0	0
