	Grade3Cc_1	Grade3Cc_2	Grade3Cc_3	ShortCc_1	ShortCc_2	ShortCc_3	ShortCc_4	ShortCc_5
ENSBTAG00000000010	7.337365085	7.2887399	7.243201999	7.2068397	7.256794884	6.996971146	7.643876388	7.340188311
ENSBTAG00000000011	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.36864825
ENSBTAG00000000012	6.143037624	6.159878629	6.176059202	6.099798331	6.099798331	6.143037624	6.234486562	5.898095558
ENSBTAG00000000013	4.429810259	4.322419612	4.322419612	3.925389514	4.322164368	4.201149871	4.322164368	4.322164368
ENSBTAG00000000014	10.13194334	9.862818275	9.835752708	10.11205249	10.26045916	10.17773651	10.04441288	10.10681957
ENSBTAG00000000016	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000021	10.4168541	10.30443962	10.24088865	10.28845034	10.52646315	10.378301	10.61091386	10.34178995
ENSBTAG00000000022	8.94418226	8.471290673	8.317111345	9.094174104	8.747143735	8.691932382	8.354897128	8.390048976
ENSBTAG00000000023	8.13948727	8.238418431	8.312270443	8.265159509	8.40504765	8.420147313	8.177081635	8.293293532
ENSBTAG00000000024	7.251287413	7.18971977	7.191795167	7.232647398	7.146950625	6.995431749	7.605607452	7.146099201
ENSBTAG00000000025	9.912235333	10.00907073	9.974785686	10.03374312	10.04886386	9.834259214	10.14590181	9.976921743
ENSBTAG00000000026	7.98717966	7.903759574	7.793002826	7.896349022	8.009711559	7.871884863	8.027373836	8.019037006
ENSBTAG00000000030	6.255551906	6.562852684	7.058901951	7.346998003	7.040506507	7.263005798	7.319687748	6.303804794
ENSBTAG00000000031	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156960317
ENSBTAG00000000039	7.179390015	7.173525458	7.128852018	7.281750288	7.195733524	7.165042758	7.261932514	7.402620448
ENSBTAG00000000040	11.24640952	11.31118971	11.46336396	11.2308926	10.70333739	11.47043375	11.97352388	11.79083548
ENSBTAG00000000042	2.898401248	2.963780295	3.026595459	2.898401248	2.898401248	2.898401248	2.898401248	2.898401248
ENSBTAG00000000044	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000046	8.738077102	8.341566573	8.842099252	9.100661685	9.565276376	9.982068301	9.145720847	9.100751309
ENSBTAG00000000050	9.825637658	9.862610067	9.855557741	9.910674945	9.798758133	9.841708807	9.766275117	9.635114238
ENSBTAG00000000053	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000056	4.761782962	4.772903305	4.837985015	4.753576518	4.917639219	4.719345005	4.758797042	4.759475705
ENSBTAG00000000057	2.157361507	2.157886505	2.158858434	2.156874905	2.156874905	2.156874905	2.156874905	2.175787113
ENSBTAG00000000064	11.07925439	11.04759639	11.17067587	11.05039174	11.29304831	11.49639824	11.19712452	11.23182079
ENSBTAG00000000065	8.76508984	8.43386599	8.450250769	8.724127398	8.709577559	8.74178968	8.577026961	8.802113162
ENSBTAG00000000067	2.836706073	2.807377372	2.779198817	2.836706073	2.836706073	2.836706073	2.836706073	2.708177823
ENSBTAG00000000070	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000072	10.80866369	10.55987369	10.66049037	10.80106903	10.88989491	11.05992982	10.74428799	10.81088183
ENSBTAG00000000073	13.13936397	13.16120173	13.13329594	13.14620586	13.20090597	13.25214238	13.28624506	13.20199379
ENSBTAG00000000074	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000077	12.18036143	12.44599525	12.37927906	12.62134637	12.39765317	12.34339011	12.14447598	12.43239126
ENSBTAG00000000078	12.63950965	12.34632586	12.50817275	12.74503517	12.5692643	12.77941343	12.66826519	12.33677721
ENSBTAG00000000080	7.539583561	7.576986841	7.503307374	7.596211081	7.575958483	7.583616926	7.648852587	7.248709427
ENSBTAG00000000081	9.861035994	10.15504928	9.952855528	9.98555911	9.586923794	8.830318212	9.566875653	9.883442474
ENSBTAG00000000084	11.73139403	11.6573763	11.71385364	11.6548357	11.66386283	11.82332291	11.64808571	11.7735015
ENSBTAG00000000085	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595	2.156731595
ENSBTAG00000000088	3.124003696	3.348433546	3.848528507	2.666126331	2.633402352	2.772895434	3.124003696	3.124003696
ENSBTAG00000000090	2.157558707	2.157558707	2.157558707	2.157558707	2.190793195	2.157558707	2.157558707	2.157558707
ENSBTAG00000000091	13.57927449	13.64227665	13.62429088	13.70164702	13.60156097	13.5151037	13.67716961	13.57243986
ENSBTAG00000000098	3.800346642	3.643580531	3.647964884	3.706932209	4.243397461	3.82129662	3.635388232	3.806690971
ENSBTAG00000000099	11.73359375	11.7331201	11.78883867	11.97920625	11.81130481	11.48310871	11.89823837	11.5662443
